group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
first_order_0,,,,,1078000.0,ns,40
first_order_0,,,,,1952700.0,ns,80
first_order_0,,,,,2883800.0,ns,120
first_order_0,,,,,4747900.0,ns,160
first_order_0,,,,,4797600.0,ns,200
first_order_0,,,,,5796300.0,ns,240
first_order_0,,,,,7027400.0,ns,280
first_order_0,,,,,7882600.0,ns,320
first_order_0,,,,,8873600.0,ns,360
first_order_0,,,,,9834700.0,ns,400
first_order_0,,,,,10775300.0,ns,440
first_order_0,,,,,11859300.0,ns,480
first_order_0,,,,,12744500.0,ns,520
first_order_0,,,,,13777400.0,ns,560
first_order_0,,,,,14893100.0,ns,600
first_order_0,,,,,15749000.0,ns,640
first_order_0,,,,,16701900.0,ns,680
first_order_0,,,,,17736000.0,ns,720
first_order_0,,,,,18620900.0,ns,760
first_order_0,,,,,19627100.0,ns,800
first_order_0,,,,,20678000.0,ns,840
first_order_0,,,,,21839600.0,ns,880
first_order_0,,,,,22598800.0,ns,920
first_order_0,,,,,23729100.0,ns,960
first_order_0,,,,,24538300.0,ns,1000
first_order_0,,,,,25718100.0,ns,1040
first_order_0,,,,,26575500.0,ns,1080
first_order_0,,,,,27546700.0,ns,1120
first_order_0,,,,,28708800.0,ns,1160
first_order_0,,,,,29859200.0,ns,1200
first_order_0,,,,,30867500.0,ns,1240
first_order_0,,,,,31463800.0,ns,1280
first_order_0,,,,,32586800.0,ns,1320
first_order_0,,,,,33462200.0,ns,1360
first_order_0,,,,,34347700.0,ns,1400
first_order_0,,,,,35378200.0,ns,1440
first_order_0,,,,,36961400.0,ns,1480
first_order_0,,,,,37408200.0,ns,1520
first_order_0,,,,,38430100.0,ns,1560
first_order_0,,,,,39395000.0,ns,1600
first_order_0,,,,,40317600.0,ns,1640
first_order_0,,,,,41460200.0,ns,1680
first_order_0,,,,,42439700.0,ns,1720
first_order_0,,,,,43181300.0,ns,1760
first_order_0,,,,,44480300.0,ns,1800
first_order_0,,,,,45797000.0,ns,1840
first_order_0,,,,,46412900.0,ns,1880
first_order_0,,,,,47375800.0,ns,1920
first_order_0,,,,,48454500.0,ns,1960
first_order_0,,,,,49289500.0,ns,2000
first_order_0,,,,,50731400.0,ns,2040
first_order_0,,,,,51629200.0,ns,2080
first_order_0,,,,,52481000.0,ns,2120
first_order_0,,,,,53348800.0,ns,2160
first_order_0,,,,,54298500.0,ns,2200
first_order_0,,,,,55314200.0,ns,2240
first_order_0,,,,,56140600.0,ns,2280
first_order_0,,,,,57287200.0,ns,2320
first_order_0,,,,,58175000.0,ns,2360
first_order_0,,,,,59399600.0,ns,2400
first_order_0,,,,,61247000.0,ns,2440
first_order_0,,,,,61472800.0,ns,2480
first_order_0,,,,,62486500.0,ns,2520
first_order_0,,,,,63667500.0,ns,2560
first_order_0,,,,,64465700.0,ns,2600
first_order_0,,,,,64994900.0,ns,2640
first_order_0,,,,,66240200.0,ns,2680
first_order_0,,,,,67486800.0,ns,2720
first_order_0,,,,,68374400.0,ns,2760
first_order_0,,,,,69707700.0,ns,2800
first_order_0,,,,,70806800.0,ns,2840
first_order_0,,,,,71487100.0,ns,2880
first_order_0,,,,,72218000.0,ns,2920
first_order_0,,,,,73682600.0,ns,2960
first_order_0,,,,,74291000.0,ns,3000
first_order_0,,,,,76529900.0,ns,3040
first_order_0,,,,,76247900.0,ns,3080
first_order_0,,,,,77361200.0,ns,3120
first_order_0,,,,,79240200.0,ns,3160
first_order_0,,,,,79208100.0,ns,3200
first_order_0,,,,,80322700.0,ns,3240
first_order_0,,,,,81258600.0,ns,3280
first_order_0,,,,,82399700.0,ns,3320
first_order_0,,,,,83653800.0,ns,3360
first_order_0,,,,,85110900.0,ns,3400
first_order_0,,,,,85562900.0,ns,3440
first_order_0,,,,,86305100.0,ns,3480
first_order_0,,,,,88214500.0,ns,3520
first_order_0,,,,,88520400.0,ns,3560
first_order_0,,,,,89532700.0,ns,3600
first_order_0,,,,,90848200.0,ns,3640
first_order_0,,,,,91012400.0,ns,3680
first_order_0,,,,,92239700.0,ns,3720
first_order_0,,,,,93139200.0,ns,3760
first_order_0,,,,,94424500.0,ns,3800
first_order_0,,,,,95333200.0,ns,3840
first_order_0,,,,,96195200.0,ns,3880
first_order_0,,,,,97176600.0,ns,3920
first_order_0,,,,,99624100.0,ns,3960
first_order_0,,,,,99118000.0,ns,4000
