group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
first_order_1,,,,,51325800.0,ns,22
first_order_1,,,,,52570200.0,ns,22
first_order_1,,,,,51399100.0,ns,22
first_order_1,,,,,51139400.0,ns,22
first_order_1,,,,,50259600.0,ns,22
first_order_1,,,,,51135700.0,ns,22
first_order_1,,,,,51105800.0,ns,22
first_order_1,,,,,52580500.0,ns,22
first_order_1,,,,,50615700.0,ns,22
first_order_1,,,,,50304700.0,ns,22
first_order_1,,,,,52658900.0,ns,22
first_order_1,,,,,50728800.0,ns,22
first_order_1,,,,,51732300.0,ns,22
first_order_1,,,,,49765800.0,ns,22
first_order_1,,,,,54276500.0,ns,22
first_order_1,,,,,50590100.0,ns,22
first_order_1,,,,,51634800.0,ns,22
first_order_1,,,,,51077500.0,ns,22
first_order_1,,,,,50186200.0,ns,22
first_order_1,,,,,52415900.0,ns,22
first_order_1,,,,,52105300.0,ns,22
first_order_1,,,,,50672300.0,ns,22
first_order_1,,,,,51617200.0,ns,22
first_order_1,,,,,50832800.0,ns,22
first_order_1,,,,,50199000.0,ns,22
first_order_1,,,,,51628200.0,ns,22
first_order_1,,,,,50978400.0,ns,22
first_order_1,,,,,51553000.0,ns,22
first_order_1,,,,,51378500.0,ns,22
first_order_1,,,,,51874200.0,ns,22
first_order_1,,,,,50721000.0,ns,22
first_order_1,,,,,50621600.0,ns,22
first_order_1,,,,,51204600.0,ns,22
first_order_1,,,,,52162500.0,ns,22
first_order_1,,,,,50031800.0,ns,22
first_order_1,,,,,51979000.0,ns,22
first_order_1,,,,,52425900.0,ns,22
first_order_1,,,,,52371800.0,ns,22
first_order_1,,,,,51721200.0,ns,22
first_order_1,,,,,54102900.0,ns,22
first_order_1,,,,,53191200.0,ns,22
first_order_1,,,,,53761900.0,ns,22
first_order_1,,,,,54658600.0,ns,22
first_order_1,,,,,55391900.0,ns,22
first_order_1,,,,,55771800.0,ns,22
first_order_1,,,,,54855400.0,ns,22
first_order_1,,,,,54894300.0,ns,22
first_order_1,,,,,56072000.0,ns,22
first_order_1,,,,,55121700.0,ns,22
first_order_1,,,,,57247500.0,ns,22
first_order_1,,,,,54758600.0,ns,22
first_order_1,,,,,55233300.0,ns,22
first_order_1,,,,,54866300.0,ns,22
first_order_1,,,,,55079200.0,ns,22
first_order_1,,,,,55084600.0,ns,22
first_order_1,,,,,54955700.0,ns,22
first_order_1,,,,,54740700.0,ns,22
first_order_1,,,,,54029300.0,ns,22
first_order_1,,,,,55424200.0,ns,22
first_order_1,,,,,54726200.0,ns,22
first_order_1,,,,,54817500.0,ns,22
first_order_1,,,,,54107100.0,ns,22
first_order_1,,,,,51990500.0,ns,22
first_order_1,,,,,54323400.0,ns,22
first_order_1,,,,,55775900.0,ns,22
first_order_1,,,,,55068000.0,ns,22
first_order_1,,,,,53228200.0,ns,22
first_order_1,,,,,55532400.0,ns,22
first_order_1,,,,,54421100.0,ns,22
first_order_1,,,,,54104100.0,ns,22
first_order_1,,,,,55914500.0,ns,22
first_order_1,,,,,59550400.0,ns,22
first_order_1,,,,,54459700.0,ns,22
first_order_1,,,,,56009700.0,ns,22
first_order_1,,,,,54480100.0,ns,22
first_order_1,,,,,54925900.0,ns,22
first_order_1,,,,,54743100.0,ns,22
first_order_1,,,,,55229000.0,ns,22
first_order_1,,,,,54192600.0,ns,22
first_order_1,,,,,55492800.0,ns,22
first_order_1,,,,,56297400.0,ns,22
first_order_1,,,,,55213600.0,ns,22
first_order_1,,,,,58386000.0,ns,22
first_order_1,,,,,60384700.0,ns,22
first_order_1,,,,,61126200.0,ns,22
first_order_1,,,,,61956500.0,ns,22
first_order_1,,,,,60574100.0,ns,22
first_order_1,,,,,60792500.0,ns,22
first_order_1,,,,,61699600.0,ns,22
first_order_1,,,,,59611400.0,ns,22
first_order_1,,,,,48279100.0,ns,22
first_order_1,,,,,49444100.0,ns,22
first_order_1,,,,,50748000.0,ns,22
first_order_1,,,,,51089800.0,ns,22
first_order_1,,,,,50324200.0,ns,22
first_order_1,,,,,52409500.0,ns,22
first_order_1,,,,,51013300.0,ns,22
first_order_1,,,,,51710900.0,ns,22
first_order_1,,,,,54417400.0,ns,22
first_order_1,,,,,53568700.0,ns,22
