group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
many_implications,,,,,1130900.0,ns,8
many_implications,,,,,2190700.0,ns,16
many_implications,,,,,3274100.0,ns,24
many_implications,,,,,4365800.0,ns,32
many_implications,,,,,5609800.0,ns,40
many_implications,,,,,6573200.0,ns,48
many_implications,,,,,7690300.0,ns,56
many_implications,,,,,8885000.0,ns,64
many_implications,,,,,9983800.0,ns,72
many_implications,,,,,10921300.0,ns,80
many_implications,,,,,12231200.0,ns,88
many_implications,,,,,13239000.0,ns,96
many_implications,,,,,14443400.0,ns,104
many_implications,,,,,15474600.0,ns,112
many_implications,,,,,16710000.0,ns,120
many_implications,,,,,17665600.0,ns,128
many_implications,,,,,18842200.0,ns,136
many_implications,,,,,19945300.0,ns,144
many_implications,,,,,20783500.0,ns,152
many_implications,,,,,22008500.0,ns,160
many_implications,,,,,23234700.0,ns,168
many_implications,,,,,24331900.0,ns,176
many_implications,,,,,25390900.0,ns,184
many_implications,,,,,26774100.0,ns,192
many_implications,,,,,27787300.0,ns,200
many_implications,,,,,28797500.0,ns,208
many_implications,,,,,29792700.0,ns,216
many_implications,,,,,31085400.0,ns,224
many_implications,,,,,31948300.0,ns,232
many_implications,,,,,33268900.0,ns,240
many_implications,,,,,34414100.0,ns,248
many_implications,,,,,35432700.0,ns,256
many_implications,,,,,36435200.0,ns,264
many_implications,,,,,37573300.0,ns,272
many_implications,,,,,38723000.0,ns,280
many_implications,,,,,36355900.0,ns,288
many_implications,,,,,33665900.0,ns,296
many_implications,,,,,35963700.0,ns,304
many_implications,,,,,37140100.0,ns,312
many_implications,,,,,38577700.0,ns,320
many_implications,,,,,39694900.0,ns,328
many_implications,,,,,40898900.0,ns,336
many_implications,,,,,40563400.0,ns,344
many_implications,,,,,42496100.0,ns,352
many_implications,,,,,47292800.0,ns,360
many_implications,,,,,48750600.0,ns,368
many_implications,,,,,49958100.0,ns,376
many_implications,,,,,51432800.0,ns,384
many_implications,,,,,52719800.0,ns,392
many_implications,,,,,54202900.0,ns,400
many_implications,,,,,54956500.0,ns,408
many_implications,,,,,55820200.0,ns,416
many_implications,,,,,57097800.0,ns,424
many_implications,,,,,58182000.0,ns,432
many_implications,,,,,59300600.0,ns,440
many_implications,,,,,60240400.0,ns,448
many_implications,,,,,61396100.0,ns,456
many_implications,,,,,62246600.0,ns,464
many_implications,,,,,63377900.0,ns,472
many_implications,,,,,64428400.0,ns,480
many_implications,,,,,65564400.0,ns,488
many_implications,,,,,66636400.0,ns,496
many_implications,,,,,67431500.0,ns,504
many_implications,,,,,68814300.0,ns,512
many_implications,,,,,69691700.0,ns,520
many_implications,,,,,70838400.0,ns,528
many_implications,,,,,71931300.0,ns,536
many_implications,,,,,73000700.0,ns,544
many_implications,,,,,73863600.0,ns,552
many_implications,,,,,75194400.0,ns,560
many_implications,,,,,76052500.0,ns,568
many_implications,,,,,77171600.0,ns,576
many_implications,,,,,77897900.0,ns,584
many_implications,,,,,78991500.0,ns,592
many_implications,,,,,80179700.0,ns,600
many_implications,,,,,81319800.0,ns,608
many_implications,,,,,82055700.0,ns,616
many_implications,,,,,83246200.0,ns,624
many_implications,,,,,84711000.0,ns,632
many_implications,,,,,85731300.0,ns,640
many_implications,,,,,86568000.0,ns,648
many_implications,,,,,87957700.0,ns,656
many_implications,,,,,88673400.0,ns,664
many_implications,,,,,89899100.0,ns,672
many_implications,,,,,90565100.0,ns,680
many_implications,,,,,91890600.0,ns,688
many_implications,,,,,92796700.0,ns,696
many_implications,,,,,94071000.0,ns,704
many_implications,,,,,95248800.0,ns,712
many_implications,,,,,92690200.0,ns,720
many_implications,,,,,85685600.0,ns,728
many_implications,,,,,87937700.0,ns,736
many_implications,,,,,89754700.0,ns,744
many_implications,,,,,90814800.0,ns,752
many_implications,,,,,91736500.0,ns,760
many_implications,,,,,92718300.0,ns,768
many_implications,,,,,93538300.0,ns,776
many_implications,,,,,91882000.0,ns,784
many_implications,,,,,102617500.0,ns,792
many_implications,,,,,105879600.0,ns,800
