group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
many_implications,,,,,1035000.0,ns,8
many_implications,,,,,2026700.0,ns,16
many_implications,,,,,3074700.0,ns,24
many_implications,,,,,4047600.0,ns,32
many_implications,,,,,5053700.0,ns,40
many_implications,,,,,6106900.0,ns,48
many_implications,,,,,7150000.0,ns,56
many_implications,,,,,8091100.0,ns,64
many_implications,,,,,9200300.0,ns,72
many_implications,,,,,10146200.0,ns,80
many_implications,,,,,11123600.0,ns,88
many_implications,,,,,12172600.0,ns,96
many_implications,,,,,13165500.0,ns,104
many_implications,,,,,14198500.0,ns,112
many_implications,,,,,15173900.0,ns,120
many_implications,,,,,16216500.0,ns,128
many_implications,,,,,17231500.0,ns,136
many_implications,,,,,18224600.0,ns,144
many_implications,,,,,19248700.0,ns,152
many_implications,,,,,20297200.0,ns,160
many_implications,,,,,21270100.0,ns,168
many_implications,,,,,22340400.0,ns,176
many_implications,,,,,23307800.0,ns,184
many_implications,,,,,24296000.0,ns,192
many_implications,,,,,25297100.0,ns,200
many_implications,,,,,26310100.0,ns,208
many_implications,,,,,27371900.0,ns,216
many_implications,,,,,28110300.0,ns,224
many_implications,,,,,29855100.0,ns,232
many_implications,,,,,31170200.0,ns,240
many_implications,,,,,32220100.0,ns,248
many_implications,,,,,33222700.0,ns,256
many_implications,,,,,34302600.0,ns,264
many_implications,,,,,35563300.0,ns,272
many_implications,,,,,36413400.0,ns,280
many_implications,,,,,37411200.0,ns,288
many_implications,,,,,38404400.0,ns,296
many_implications,,,,,39449000.0,ns,304
many_implications,,,,,39716900.0,ns,312
many_implications,,,,,40534600.0,ns,320
many_implications,,,,,41506900.0,ns,328
many_implications,,,,,42594900.0,ns,336
many_implications,,,,,43565200.0,ns,344
many_implications,,,,,44567300.0,ns,352
many_implications,,,,,45581900.0,ns,360
many_implications,,,,,46548000.0,ns,368
many_implications,,,,,47583800.0,ns,376
many_implications,,,,,48599400.0,ns,384
many_implications,,,,,49880800.0,ns,392
many_implications,,,,,51909900.0,ns,400
many_implications,,,,,52989400.0,ns,408
many_implications,,,,,53790100.0,ns,416
many_implications,,,,,55068400.0,ns,424
many_implications,,,,,55799100.0,ns,432
many_implications,,,,,55683400.0,ns,440
many_implications,,,,,56714100.0,ns,448
many_implications,,,,,57760900.0,ns,456
many_implications,,,,,60208400.0,ns,464
many_implications,,,,,61320700.0,ns,472
many_implications,,,,,62444100.0,ns,480
many_implications,,,,,62492500.0,ns,488
many_implications,,,,,62754600.0,ns,496
many_implications,,,,,63823500.0,ns,504
many_implications,,,,,64856700.0,ns,512
many_implications,,,,,65862900.0,ns,520
many_implications,,,,,66935200.0,ns,528
many_implications,,,,,67874900.0,ns,536
many_implications,,,,,68919500.0,ns,544
many_implications,,,,,71105500.0,ns,552
many_implications,,,,,72816400.0,ns,560
many_implications,,,,,73827300.0,ns,568
many_implications,,,,,74830500.0,ns,576
many_implications,,,,,75425700.0,ns,584
many_implications,,,,,75113400.0,ns,592
many_implications,,,,,75981300.0,ns,600
many_implications,,,,,76890900.0,ns,608
many_implications,,,,,77966700.0,ns,616
many_implications,,,,,80752900.0,ns,624
many_implications,,,,,82010400.0,ns,632
many_implications,,,,,82616900.0,ns,640
many_implications,,,,,82112400.0,ns,648
many_implications,,,,,83495100.0,ns,656
many_implications,,,,,84066200.0,ns,664
many_implications,,,,,86319100.0,ns,672
many_implications,,,,,89016500.0,ns,680
many_implications,,,,,89373000.0,ns,688
many_implications,,,,,90478000.0,ns,696
many_implications,,,,,89323200.0,ns,704
many_implications,,,,,90178400.0,ns,712
many_implications,,,,,91135300.0,ns,720
many_implications,,,,,92060100.0,ns,728
many_implications,,,,,94796800.0,ns,736
many_implications,,,,,99009100.0,ns,744
many_implications,,,,,97633400.0,ns,752
many_implications,,,,,99049400.0,ns,760
many_implications,,,,,99986100.0,ns,768
many_implications,,,,,106980200.0,ns,776
many_implications,,,,,110145400.0,ns,784
many_implications,,,,,112440800.0,ns,792
many_implications,,,,,113405300.0,ns,800
