group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
first_order_1,,,,,48634200.0,ns,23
first_order_1,,,,,49646500.0,ns,23
first_order_1,,,,,50616000.0,ns,23
first_order_1,,,,,48697400.0,ns,23
first_order_1,,,,,49431200.0,ns,23
first_order_1,,,,,49424500.0,ns,23
first_order_1,,,,,49309400.0,ns,23
first_order_1,,,,,49684300.0,ns,23
first_order_1,,,,,50565000.0,ns,23
first_order_1,,,,,48534700.0,ns,23
first_order_1,,,,,46983900.0,ns,23
first_order_1,,,,,47959000.0,ns,23
first_order_1,,,,,47958800.0,ns,23
first_order_1,,,,,49401700.0,ns,23
first_order_1,,,,,48781300.0,ns,23
first_order_1,,,,,50002800.0,ns,23
first_order_1,,,,,48935300.0,ns,23
first_order_1,,,,,49755400.0,ns,23
first_order_1,,,,,49557400.0,ns,23
first_order_1,,,,,49398500.0,ns,23
first_order_1,,,,,48596900.0,ns,23
first_order_1,,,,,49322700.0,ns,23
first_order_1,,,,,48939600.0,ns,23
first_order_1,,,,,48918300.0,ns,23
first_order_1,,,,,48503300.0,ns,23
first_order_1,,,,,48354200.0,ns,23
first_order_1,,,,,48031700.0,ns,23
first_order_1,,,,,49297400.0,ns,23
first_order_1,,,,,48584500.0,ns,23
first_order_1,,,,,48636500.0,ns,23
first_order_1,,,,,47249700.0,ns,23
first_order_1,,,,,48536600.0,ns,23
first_order_1,,,,,49221200.0,ns,23
first_order_1,,,,,50644200.0,ns,23
first_order_1,,,,,49510600.0,ns,23
first_order_1,,,,,49962200.0,ns,23
first_order_1,,,,,49574400.0,ns,23
first_order_1,,,,,48319300.0,ns,23
first_order_1,,,,,47849500.0,ns,23
first_order_1,,,,,48060900.0,ns,23
first_order_1,,,,,49429400.0,ns,23
first_order_1,,,,,50770700.0,ns,23
first_order_1,,,,,49540000.0,ns,23
first_order_1,,,,,50259500.0,ns,23
first_order_1,,,,,48523300.0,ns,23
first_order_1,,,,,47936200.0,ns,23
first_order_1,,,,,48289300.0,ns,23
first_order_1,,,,,47899500.0,ns,23
first_order_1,,,,,47521300.0,ns,23
first_order_1,,,,,46858100.0,ns,23
first_order_1,,,,,48233300.0,ns,23
first_order_1,,,,,47833900.0,ns,23
first_order_1,,,,,48772900.0,ns,23
first_order_1,,,,,49752900.0,ns,23
first_order_1,,,,,49972500.0,ns,23
first_order_1,,,,,48714200.0,ns,23
first_order_1,,,,,49643500.0,ns,23
first_order_1,,,,,48685100.0,ns,23
first_order_1,,,,,49999400.0,ns,23
first_order_1,,,,,48339100.0,ns,23
first_order_1,,,,,51506900.0,ns,23
first_order_1,,,,,50804100.0,ns,23
first_order_1,,,,,50471800.0,ns,23
first_order_1,,,,,50056300.0,ns,23
first_order_1,,,,,50585100.0,ns,23
first_order_1,,,,,49711800.0,ns,23
first_order_1,,,,,48725900.0,ns,23
first_order_1,,,,,50364700.0,ns,23
first_order_1,,,,,49728800.0,ns,23
first_order_1,,,,,49393200.0,ns,23
first_order_1,,,,,50049400.0,ns,23
first_order_1,,,,,50477900.0,ns,23
first_order_1,,,,,49528000.0,ns,23
first_order_1,,,,,47324000.0,ns,23
first_order_1,,,,,47821600.0,ns,23
first_order_1,,,,,48998900.0,ns,23
first_order_1,,,,,48965000.0,ns,23
first_order_1,,,,,49213800.0,ns,23
first_order_1,,,,,49928400.0,ns,23
first_order_1,,,,,47238400.0,ns,23
first_order_1,,,,,49231500.0,ns,23
first_order_1,,,,,50308700.0,ns,23
first_order_1,,,,,50337900.0,ns,23
first_order_1,,,,,49894300.0,ns,23
first_order_1,,,,,49251900.0,ns,23
first_order_1,,,,,49213100.0,ns,23
first_order_1,,,,,48564800.0,ns,23
first_order_1,,,,,48504200.0,ns,23
first_order_1,,,,,49559200.0,ns,23
first_order_1,,,,,48601600.0,ns,23
first_order_1,,,,,49687000.0,ns,23
first_order_1,,,,,49640400.0,ns,23
first_order_1,,,,,47994000.0,ns,23
first_order_1,,,,,49120000.0,ns,23
first_order_1,,,,,47410500.0,ns,23
first_order_1,,,,,49253400.0,ns,23
first_order_1,,,,,47032700.0,ns,23
first_order_1,,,,,48491200.0,ns,23
first_order_1,,,,,47024900.0,ns,23
first_order_1,,,,,47062200.0,ns,23
