group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
many_implications,,,,,1060500.0,ns,11
many_implications,,,,,2000200.0,ns,22
many_implications,,,,,2988000.0,ns,33
many_implications,,,,,4023100.0,ns,44
many_implications,,,,,5024800.0,ns,55
many_implications,,,,,6008100.0,ns,66
many_implications,,,,,7007200.0,ns,77
many_implications,,,,,8039300.0,ns,88
many_implications,,,,,9045800.0,ns,99
many_implications,,,,,10025700.0,ns,110
many_implications,,,,,11111200.0,ns,121
many_implications,,,,,12062500.0,ns,132
many_implications,,,,,13067100.0,ns,143
many_implications,,,,,14076000.0,ns,154
many_implications,,,,,15067500.0,ns,165
many_implications,,,,,16527800.0,ns,176
many_implications,,,,,17087100.0,ns,187
many_implications,,,,,18097100.0,ns,198
many_implications,,,,,19130000.0,ns,209
many_implications,,,,,20103700.0,ns,220
many_implications,,,,,21586000.0,ns,231
many_implications,,,,,22568800.0,ns,242
many_implications,,,,,23143200.0,ns,253
many_implications,,,,,24855100.0,ns,264
many_implications,,,,,25873600.0,ns,275
many_implications,,,,,26862200.0,ns,286
many_implications,,,,,28695700.0,ns,297
many_implications,,,,,28923600.0,ns,308
many_implications,,,,,29963900.0,ns,319
many_implications,,,,,30981900.0,ns,330
many_implications,,,,,32017000.0,ns,341
many_implications,,,,,33053700.0,ns,352
many_implications,,,,,34066400.0,ns,363
many_implications,,,,,35099500.0,ns,374
many_implications,,,,,36160000.0,ns,385
many_implications,,,,,37145300.0,ns,396
many_implications,,,,,38241100.0,ns,407
many_implications,,,,,39237800.0,ns,418
many_implications,,,,,40278100.0,ns,429
many_implications,,,,,41395600.0,ns,440
many_implications,,,,,42314700.0,ns,451
many_implications,,,,,43346300.0,ns,462
many_implications,,,,,45070800.0,ns,473
many_implications,,,,,45438600.0,ns,484
many_implications,,,,,45788300.0,ns,495
many_implications,,,,,46142700.0,ns,506
many_implications,,,,,47413500.0,ns,517
many_implications,,,,,48313900.0,ns,528
many_implications,,,,,50732800.0,ns,539
many_implications,,,,,51659100.0,ns,550
many_implications,,,,,52787700.0,ns,561
many_implications,,,,,54100000.0,ns,572
many_implications,,,,,55110700.0,ns,583
many_implications,,,,,55770100.0,ns,594
many_implications,,,,,59838200.0,ns,605
many_implications,,,,,62217400.0,ns,616
many_implications,,,,,63474700.0,ns,627
many_implications,,,,,65157200.0,ns,638
many_implications,,,,,65984700.0,ns,649
many_implications,,,,,60552700.0,ns,660
many_implications,,,,,61816800.0,ns,671
many_implications,,,,,62621400.0,ns,682
many_implications,,,,,63183400.0,ns,693
many_implications,,,,,64173800.0,ns,704
many_implications,,,,,65174900.0,ns,715
many_implications,,,,,66588600.0,ns,726
many_implications,,,,,68449700.0,ns,737
many_implications,,,,,70609400.0,ns,748
many_implications,,,,,71005000.0,ns,759
many_implications,,,,,71957400.0,ns,770
many_implications,,,,,73255900.0,ns,781
many_implications,,,,,77394400.0,ns,792
many_implications,,,,,79659300.0,ns,803
many_implications,,,,,77232200.0,ns,814
many_implications,,,,,73269200.0,ns,825
many_implications,,,,,75153100.0,ns,836
many_implications,,,,,76283300.0,ns,847
many_implications,,,,,78186900.0,ns,858
many_implications,,,,,79262200.0,ns,869
many_implications,,,,,80258500.0,ns,880
many_implications,,,,,81340200.0,ns,891
many_implications,,,,,82248400.0,ns,902
many_implications,,,,,83159700.0,ns,913
many_implications,,,,,84221200.0,ns,924
many_implications,,,,,85216000.0,ns,935
many_implications,,,,,87117600.0,ns,946
many_implications,,,,,87514500.0,ns,957
many_implications,,,,,88287800.0,ns,968
many_implications,,,,,89229100.0,ns,979
many_implications,,,,,92727600.0,ns,990
many_implications,,,,,94019700.0,ns,1001
many_implications,,,,,95421800.0,ns,1012
many_implications,,,,,96154300.0,ns,1023
many_implications,,,,,99963600.0,ns,1034
many_implications,,,,,98043400.0,ns,1045
many_implications,,,,,99233700.0,ns,1056
many_implications,,,,,100356900.0,ns,1067
many_implications,,,,,101170800.0,ns,1078
many_implications,,,,,102181700.0,ns,1089
many_implications,,,,,103217700.0,ns,1100
