group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
switching_thm,,,,,49737800.0,ns,23
switching_thm,,,,,54711800.0,ns,23
switching_thm,,,,,57166400.0,ns,23
switching_thm,,,,,55606700.0,ns,23
switching_thm,,,,,55845800.0,ns,23
switching_thm,,,,,58927100.0,ns,23
switching_thm,,,,,56323400.0,ns,23
switching_thm,,,,,49678100.0,ns,23
switching_thm,,,,,51508700.0,ns,23
switching_thm,,,,,51315600.0,ns,23
switching_thm,,,,,52960800.0,ns,23
switching_thm,,,,,47535600.0,ns,23
switching_thm,,,,,47661500.0,ns,23
switching_thm,,,,,47998100.0,ns,23
switching_thm,,,,,47953700.0,ns,23
switching_thm,,,,,48967800.0,ns,23
switching_thm,,,,,48784800.0,ns,23
switching_thm,,,,,50196600.0,ns,23
switching_thm,,,,,52585900.0,ns,23
switching_thm,,,,,49304700.0,ns,23
switching_thm,,,,,46817100.0,ns,23
switching_thm,,,,,48814800.0,ns,23
switching_thm,,,,,48081000.0,ns,23
switching_thm,,,,,47654700.0,ns,23
switching_thm,,,,,49244700.0,ns,23
switching_thm,,,,,49427600.0,ns,23
switching_thm,,,,,48083200.0,ns,23
switching_thm,,,,,49487400.0,ns,23
switching_thm,,,,,48269400.0,ns,23
switching_thm,,,,,50265300.0,ns,23
switching_thm,,,,,50270600.0,ns,23
switching_thm,,,,,48404700.0,ns,23
switching_thm,,,,,49432400.0,ns,23
switching_thm,,,,,49412300.0,ns,23
switching_thm,,,,,48959000.0,ns,23
switching_thm,,,,,49161500.0,ns,23
switching_thm,,,,,50696600.0,ns,23
switching_thm,,,,,49937400.0,ns,23
switching_thm,,,,,48399800.0,ns,23
switching_thm,,,,,49531300.0,ns,23
switching_thm,,,,,50165500.0,ns,23
switching_thm,,,,,48173600.0,ns,23
switching_thm,,,,,49857900.0,ns,23
switching_thm,,,,,49274100.0,ns,23
switching_thm,,,,,49067400.0,ns,23
switching_thm,,,,,49973500.0,ns,23
switching_thm,,,,,49423100.0,ns,23
switching_thm,,,,,50133200.0,ns,23
switching_thm,,,,,49851700.0,ns,23
switching_thm,,,,,49564800.0,ns,23
switching_thm,,,,,49157600.0,ns,23
switching_thm,,,,,51161800.0,ns,23
switching_thm,,,,,49730600.0,ns,23
switching_thm,,,,,50509400.0,ns,23
switching_thm,,,,,49301300.0,ns,23
switching_thm,,,,,49640200.0,ns,23
switching_thm,,,,,49093300.0,ns,23
switching_thm,,,,,48581500.0,ns,23
switching_thm,,,,,50240000.0,ns,23
switching_thm,,,,,49485200.0,ns,23
switching_thm,,,,,49920300.0,ns,23
switching_thm,,,,,48535700.0,ns,23
switching_thm,,,,,49242500.0,ns,23
switching_thm,,,,,52862600.0,ns,23
switching_thm,,,,,52774000.0,ns,23
switching_thm,,,,,53079800.0,ns,23
switching_thm,,,,,52592100.0,ns,23
switching_thm,,,,,53640500.0,ns,23
switching_thm,,,,,52683400.0,ns,23
switching_thm,,,,,52246700.0,ns,23
switching_thm,,,,,52368700.0,ns,23
switching_thm,,,,,55463700.0,ns,23
switching_thm,,,,,54375500.0,ns,23
switching_thm,,,,,53579800.0,ns,23
switching_thm,,,,,52557100.0,ns,23
switching_thm,,,,,52175600.0,ns,23
switching_thm,,,,,53310400.0,ns,23
switching_thm,,,,,53313500.0,ns,23
switching_thm,,,,,52212600.0,ns,23
switching_thm,,,,,51485600.0,ns,23
switching_thm,,,,,53021500.0,ns,23
switching_thm,,,,,51980500.0,ns,23
switching_thm,,,,,54584500.0,ns,23
switching_thm,,,,,52922100.0,ns,23
switching_thm,,,,,51582500.0,ns,23
switching_thm,,,,,53456300.0,ns,23
switching_thm,,,,,51892300.0,ns,23
switching_thm,,,,,51970000.0,ns,23
switching_thm,,,,,52007500.0,ns,23
switching_thm,,,,,52633800.0,ns,23
switching_thm,,,,,52357800.0,ns,23
switching_thm,,,,,54096900.0,ns,23
switching_thm,,,,,52562700.0,ns,23
switching_thm,,,,,52805400.0,ns,23
switching_thm,,,,,53130700.0,ns,23
switching_thm,,,,,52948400.0,ns,23
switching_thm,,,,,53716400.0,ns,23
switching_thm,,,,,55095000.0,ns,23
switching_thm,,,,,51826600.0,ns,23
switching_thm,,,,,52947500.0,ns,23
